Designator,Mid X,Mid Y,Layer,Rotation
3V3_RAIL,12.70,27.94,Top,90.0
5V_RAIL,12.70,33.02,Top,90.0
BAT_RAIL,12.70,38.10,Top,90.0
MCU_LED,12.70,22.86,Top,90.0
R1,19.69,38.10,Top,0.0
R2,19.69,33.02,Top,0.0
R3,19.69,27.94,Top,0.0
R4,19.69,22.86,Top,0.0
